Verso Ruso (Original),trad1,trad2,trad3
Вооруженный зреньем узких ос,Armed  with  the  seeing  of  the  narrow  wasps,Armed with the eyesight of narrow wasps,"Armed with the eyesight of slender wasps,"
"Сосущих ось земную, ось земную,","that  suck  the  axis  of  the  earth,  the  axis  of  the  earth","That suck at the axis of the earth,","sucking at the earth's axis, the earth's axis,"
"Я чую всё, с чем свидеться пришлось,",I  still  can  feel  that  which  I  had  to  meet,"I smell everything that's come my way,",I feel everything that ever happened to me
И вспоминаю наизусть и всуе...,and  can  remember  it  by  heart  and  vainly.,Fruitlessly remembering it by heart.,"and I memorise it, but it's all in vain."
"И не рисую я, и не пою,",I  do  not  paint  and  do  not  sing,"I neither sing, nor draw.","I don't draw and I don't sing,"
И не вожу смычком черноголосым:,and  do  not  draw  the  black-voiced  bow  across  the  strings:,Nor scrape a black-voiced bow across a string:,and I don't play the violin with a black-voiced bow.
Я только в жизнь впиваюсь и люблю,"I  only  sink  my  sting  in  life,  and  love","I only sting life, and love","I drive my sting only into life, and love"
"Завидовать могучим, хитрым осам",to  envy  the  powerful  cunning  wasps.,To envy the energy of subtle wasps.,"to envy the powerful, cunning wasps."
"О, если б и меня когда-нибудь могло",if  only  once  a  streak,"Ob if only heat of summer, sting of air,","Oh, if I could be compelled"
"Заставить, сон и смерть минуя,",of  air  and  summer  warmth  could  make  me,Could - sidestepping sleep and death -,by the sting of the air and the summer warmth
Стрекало воздуха и летнее тепло,sleep  and  death  avoiding,Some day goad me into hearing,"to pass through the worlds of dreams and death,"
"Услышать ось земную, ось земную…","hear  the  axis  of  the  earth,  the  axis  of  the  earth…","The buzz of earth, buzz of the earth.","to sense the earth's axis, the earth's axis…"
